Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
NEWARK LIBERTY INTL ARPT,B-757-200,None,10/25/1995,DELTA AIR LINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,200
PHILADELPHIA INTL,BA-31 JETSTR,None,10/25/1995,ATLANTIC COAST AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,180
PHILADELPHIA INTL,B-727,None,10/25/1995,UPS AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,210
GREATER PITTSBURGH,B-737-400,None,10/25/1995,US AIRWAYS*,Pennsylvania,Climb,Small,Unknown bird - small,Night,0,0,0,
NEWARK LIBERTY INTL ARPT,DC-10,None,10/25/1995,FEDEX EXPRESS,New Jersey,Descent,Small,Unknown bird - small,Night,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,10/26/1995,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150
NEWARK LIBERTY INTL ARPT,A-310,None,10/26/1995,FEDEX EXPRESS,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
PHILADELPHIA INTL,B-727,None,10/26/1995,UPS AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,190
PHILADELPHIA INTL,B-737-300,None,10/26/1995,US AIRWAYS*,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,250
CHARLESTON AFB/INTL ARPT,B-727,None,10/26/1995,DELTA AIR LINES,South Carolina,Descent,Medium,Unknown bird - medium,Night,0,0,0,250
NEWARK LIBERTY INTL ARPT,B-727,None,10/26/1995,FEDEX EXPRESS,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,200
BALTIMORE WASH INTL,B-737-200,None,10/27/1995,US AIRWAYS*,Maryland,Climb,Large,Unknown bird - large,Day,0,0,0,
PHOENIX SKY HARBOR,B-737,None,10/27/1995,AMERICA WEST AIRLINES,Arizona,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
FORT LAUDERDALE/HOLLYWOOD INTL,B-727,None,10/27/1995,AMERICAN AIRLINES,Florida,Landing Roll,Medium,Red-tailed hawk,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-767-300,None,10/27/1995,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,137
DALLAS/FORT WORTH INTL ARPT,B-767,None,10/27/1995,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
EPPLEY AIRFIELD,B-737-300,None,10/27/1995,BUSINESS,Nebraska,Approach,Medium,Unknown bird - medium,Night,0,0,0,210
GEORGE BUSH INTERCONTINENTAL,ATR-42,None,10/27/1995,EXPRESSJET (CONTINENTAL EXPRS),Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,
LOS ANGELES INTL,DC-10,None,10/27/1995,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Night,0,0,0,200
PHILADELPHIA INTL,DC-9-30,None,10/28/1995,US AIRWAYS*,Pennsylvania,Descent,Medium,Unknown bird - medium,Dusk,0,0,0,250
SALT LAKE CITY INTL,B-767,None,10/28/1995,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Night,0,0,0,
LOUISVILLE INTL ARPT,B-757-200,None,10/28/1995,UPS AIRLINES,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,125
RONALD REAGAN WASHINGTON NATL,B-737-200,None,10/28/1995,US AIRWAYS*,DC,Climb,Small,Unknown bird - small,Night,0,0,0,200
RONALD REAGAN WASHINGTON NATL,B-757-200,None,10/29/1995,UNITED AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,170
GREATER PITTSBURGH,B-737,None,10/29/1995,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,140
SAN FRANCISCO INTL ARPT,B-757-200,None,10/30/1995,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,135
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,SAAB-340,None,10/30/1995,COMAIR AIRLINES,Kentucky,Take-off run,Small,European starling,Day,0,0,0,
PORTLAND INTL (OR),B-737-300,Minor,10/31/1995,UNITED AIRLINES,Oregon,Landing Roll,Medium,American crow,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,10/31/1995,US AIRWAYS*,North Carolina,Climb,Small,Rock pigeon,Day,0,0,0,150
SALT LAKE CITY INTL,B-737-200,Minor,11/1/1995,DELTA AIR LINES,Utah,Approach,Large,Unknown bird - large,Night,0,0,0,190
LOS ANGELES INTL,EMB-120,None,11/1/1995,BUSINESS,California,Landing Roll,Small,Rock pigeon,Day,0,0,0,
SEATTLE-TACOMA INTL,MD-80,None,11/1/1995,ALASKA AIRLINES,Washington,Approach,Small,Unknown bird - small,Night,0,0,0,
PORTLAND INTL (OR),MD-80,None,11/2/1995,AMERICAN AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,PA-34 SENECA,Minor,11/2/1995,PRIVATELY OWNED,North Carolina,Approach,Small,Rock pigeon,Day,0,152,152,120
MINETA SAN JOSE INTL,B-737-300,None,11/2/1995,SOUTHWEST AIRLINES,California,Landing Roll,Small,Mourning dove,Day,0,0,0,100
NEWARK LIBERTY INTL ARPT,MD-80,None,11/2/1995,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Small,Rock pigeon,Day,0,0,0,100
NEWARK LIBERTY INTL ARPT,MD-80,None,11/2/1995,CONTINENTAL AIRLINES,New Jersey,Take-off run,Small,Rock pigeon,Day,0,0,0,
SEATTLE-TACOMA INTL,MD-80,None,11/2/1995,ALASKA AIRLINES,Washington,Approach,Small,Unknown bird - small,Dusk,0,0,0,
LOGAN INTL,B-737-300,None,11/3/1995,CONTINENTAL AIRLINES,Massachusetts,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,B-737-300,None,11/3/1995,SOUTHWEST AIRLINES,California,Descent,Medium,Unknown bird - medium,Night,0,0,0,210
LAGUARDIA NY,MD-80,None,11/3/1995,AMERICAN AIRLINES,New York,Approach,Small,Rock pigeon,Day,0,0,0,135
SACRAMENTO INTL,B-737-300,None,11/4/1995,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,
LOGAN INTL,DC-9,None,11/4/1995,US AIRWAYS*,Massachusetts,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
PHILADELPHIA INTL,B-737-400,None,11/4/1995,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
NASHVILLE INTL,DC-9-30,None,11/4/1995,US AIRWAYS*,Tennessee,Climb,Medium,Unknown bird - medium,Night,0,0,0,200
PHILADELPHIA INTL,B-737-400,None,11/4/1995,US AIRWAYS*,Pennsylvania,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
ORLANDO INTL,B-727-200,None,11/5/1995,DELTA AIR LINES,Florida,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,80
PHILADELPHIA INTL,B-737-400,None,11/5/1995,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
METRO OAKLAND INTL,B-737-300,None,11/5/1995,SOUTHWEST AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,160
PHILADELPHIA INTL,DC-9-30,Substantial,11/5/1995,US AIRWAYS*,Pennsylvania,Climb,Small,Unknown bird - small,Night,0,0,0,200
RONALD REAGAN WASHINGTON NATL,B-737-300,None,11/6/1995,US AIRWAYS*,DC,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
BALTIMORE WASH INTL,DHC8 DASH 8,None,11/6/1995,ALLEGHENYAIRLINES,Maryland,Approach,Small,Unknown bird - small,Night,0,0,0,100
NEWARK LIBERTY INTL ARPT,ATR-42,None,11/6/1995,EXPRESSJET (CONTINENTAL EXPRS),New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,140
NEW ORLEANS INTL,B-737-300,None,11/7/1995,US AIRWAYS*,Louisiana,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,135
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-737,None,11/7/1995,DELTA AIR LINES,Kentucky,Landing Roll,Small,European starling,Day,0,0,0,120
NASHVILLE INTL,MD-82,None,11/7/1995,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,140
CHICAGO O'HARE INTL ARPT,HAWKER 800,None,11/8/1995,UNKNOWN,Illinois,Approach,Large,Canada goose,Day,0,0,0,
GREATER PITTSBURGH,FOKKER F28 MK 4000,None,11/8/1995,US AIRWAYS*,Pennsylvania,Climb,Large,Unknown bird - large,Night,0,0,0,210
TETERBORO AIRPORT,CL-600,None,11/9/1995,BUSINESS,New Jersey,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
LOS ANGELES INTL,DC-10,None,11/9/1995,NORTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-80,None,11/9/1995,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Dusk,0,0,0,170
BALTIMORE WASH INTL,FOKKER F100,None,11/9/1995,US AIRWAYS*,Maryland,Climb,Small,Unknown bird - small,Night,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,B-757-200,Substantial,11/10/1995,DELTA AIR LINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,210
CHICAGO O'HARE INTL ARPT,BE-1900,None,11/11/1995,GREAT LAKES AIRLINES,Illinois,Approach,Large,Unknown bird - large,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,11/11/1995,AMERICAN EAGLE AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Dusk,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,11/12/1995,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,145
PORTLAND INTL (OR),B-737-300,None,11/13/1995,SOUTHWEST AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,210
DENVER INTL AIRPORT,B-727,None,11/13/1995,UNITED AIRLINES,Colorado,Approach,Small,Unknown bird - small,Night,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,11/13/1995,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,240
MEMPHIS INTL,SAAB-340,None,11/16/1995,PINNACLE,Tennessee,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,200
CHARLOTTE/DOUGLAS INTL ARPT,B-737-300,None,11/16/1995,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,130
LIHUE ARPT,DC-9,None,11/16/1995,HAWAIIAN AIR,Hawaii,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,11/16/1995,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
BALTIMORE WASH INTL,FOKKER F100,None,11/17/1995,US AIRWAYS*,Maryland,Descent,Medium,Unknown bird - medium,Night,0,0,0,150
MEMPHIS INTL,B-727,None,11/18/1995,FEDEX EXPRESS,Tennessee,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
HOUSTON-HOBBY,B-737-200,Substantial,11/18/1995,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,100
CHARLESTON AFB/INTL ARPT,CITATION II,None,11/18/1995,BUSINESS,South Carolina,Landing Roll,Small,Unknown bird - small,Day,0,0,0,110
NASHVILLE INTL,MD-82,None,11/18/1995,AMERICAN AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,120
LOGAN INTL,B-737-400,None,11/18/1995,US AIRWAYS*,Massachusetts,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,135
BALTIMORE WASH INTL,A-320,Minor,11/19/1995,UNITED AIRLINES,Maryland,Landing Roll,Large,White-tailed deer,Night,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,B-737-300,None,11/21/1995,US AIRWAYS*,North Carolina,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,90
SALT LAKE CITY INTL,B-767,None,11/22/1995,DELTA AIR LINES,Utah,Take-off run,Large,Unknown bird - large,Day,0,0,0,
HONOLULU INTL ARPT,L-1011,Minor,11/23/1995,DELTA AIR LINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,150
NASHVILLE INTL,B-737-200,None,11/24/1995,SOUTHWEST AIRLINES,Tennessee,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,140
PHILADELPHIA INTL,B-747-1/200,None,11/24/1995,UPS AIRLINES,Pennsylvania,Climb,Small,Unknown bird - small,Day,0,0,0,170
PORTLAND INTL (OR),DORNIER 328,Minor,11/25/1995,HORIZON AIR,Oregon,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-30,None,11/27/1995,NORTHWEST AIRLINES,North Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,145
PHOENIX SKY HARBOR,B-737-300,None,11/30/1995,SOUTHWEST AIRLINES,Arizona,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
NASHVILLE INTL,HAWKER 1000,Medium,11/30/1995,BUSINESS,Tennessee,Climb,Small,Unknown bird - small,Dawn,0,0,0,150
HONOLULU INTL ARPT,B-737-400,None,12/2/1995,ALOHA AIRLINES,Hawaii,Take-off run,Small,Unknown bird - small,Night,0,0,0,132
CHARLESTON AFB/INTL ARPT,C-17A,None,12/5/1995,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,130
MINETA SAN JOSE INTL,C-152,None,12/6/1995,BUSINESS,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,90
HOUSTON-HOBBY,DC-9-30,None,12/6/1995,NORTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,135
SACRAMENTO INTL,MD-80,None,12/7/1995,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SACRAMENTO INTL,MERLIN III,Medium,12/9/1995,SKYWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,B-737-500,None,12/9/1995,SOUTHWEST AIRLINES,Louisiana,Approach,Medium,Unknown bird - medium,Day,0,0,0,141
NASHVILLE INTL,B-737-200,None,12/9/1995,SOUTHWEST AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,160
CHICAGO O'HARE INTL ARPT,MD-88,Substantial,12/10/1995,DELTA AIR LINES,Illinois,Approach,Large,Canada goose,Night,0,0,0,210
LAGUARDIA NY,B-757-200,Minor,12/10/1995,DELTA AIR LINES,New York,Approach,Large,Unknown bird - large,Night,0,0,0,140
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F28 MK 1000,None,12/10/1995,US AIRWAYS*,North Carolina,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,100
ATLANTA INTL,B-737,Substantial,12/12/1995,DELTA AIR LINES,Georgia,Approach,Medium,Unknown bird - medium,Day,0,0,0,
SEATTLE-TACOMA INTL,B-737-300,None,12/12/1995,SOUTHWEST AIRLINES,Washington,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140
SEATTLE-TACOMA INTL,B-737-300,Minor,12/13/1995,SOUTHWEST AIRLINES,Washington,Approach,Large,Canada goose,Night,0,0,0,145
CHARLOTTE/DOUGLAS INTL ARPT,DC-9,None,12/14/1995,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Dusk,0,0,0,130
LAGUARDIA NY,DHC8 DASH 8,Minor,12/16/1995,ALLEGHENYAIRLINES,New York,Climb,Medium,Unknown bird - medium,Day,0,0,0,150
MINETA SAN JOSE INTL,MD-83,None,12/16/1995,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,220
NEW ORLEANS INTL,B-737-200,None,12/16/1995,US AIRWAYS*,Louisiana,Take-off run,Small,Unknown bird - small,Night,0,0,0,
SACRAMENTO INTL,BE-90  KING,Minor,12/18/1995,JAPAN AIRLINES,California,Approach,Large,Canada goose,Day,0,0,0,160
ATLANTA INTL,B-737-200,None,12/18/1995,DELTA AIR LINES,Georgia,Landing Roll,Medium,Unknown bird - medium,Dawn,0,0,0,120
NASHVILLE INTL,LEARJET-35,None,12/18/1995,BUSINESS,Tennessee,Approach,Small,European starling,Day,0,0,0,132
MEMPHIS INTL,A-320,None,12/19/1995,NORTHWEST AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,
NEW ORLEANS INTL,B-727-200,None,12/19/1995,DELTA AIR LINES,Louisiana,Landing Roll,Small,Killdeer,Night,0,0,0,
NEW ORLEANS INTL,B-727-200,None,12/19/1995,DELTA AIR LINES,Louisiana,Landing Roll,Small,Unknown bird - small,Night,0,0,0,
LOS ANGELES INTL,L-1011,Substantial,12/20/1995,DELTA AIR LINES,California,Take-off run,Small,Rock pigeon,Day,0,457389,457389,90
JOHN F KENNEDY INTL,BA-41 JETSTR,None,12/21/1995,TRANS STATES AIRLINES,New York,Climb,Medium,Herring gull,Day,0,0,0,
LIHUE ARPT,B-737-200,None,12/22/1995,ALOHA AIRLINES,Hawaii,Take-off run,Small,Unknown bird - small,Day,0,0,0,130
LIHUE ARPT,B-737-200,None,12/24/1995,ALOHA AIRLINES,Hawaii,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,130
METRO OAKLAND INTL,B-737-500,None,12/24/1995,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,135
SACRAMENTO INTL,B-737-300,None,12/26/1995,SOUTHWEST AIRLINES,California,Climb,Large,Unknown bird - large,Dawn,0,0,0,160
BALTIMORE WASH INTL,C-210 CENTUR,Minor,12/28/1995,BUSINESS,Maryland,Landing Roll,Large,White-tailed deer,Night,0,0,0,
CHICAGO O'HARE INTL ARPT,B-737-300,None,12/28/1995,UNITED AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,140
SACRAMENTO INTL,BA-31 JETSTR,None,12/29/1995,TRANS STATES AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,B-737,None,12/30/1995,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,
PHILADELPHIA INTL,B-737-200,None,12/30/1995,US AIRWAYS*,Pennsylvania,Climb,Small,Unknown bird - small,Day,0,0,0,160
METRO OAKLAND INTL,B-737,None,12/31/1995,SOUTHWEST AIRLINES,California,Approach,Large,Unknown bird - large,Day,0,0,0,140
RONALD REAGAN WASHINGTON NATL,DC-9-30,None,12/31/1995,US AIRWAYS*,DC,Approach,Small,Unknown bird - small,Night,0,0,0,180
LIHUE ARPT,BELL-206,Substantial,1/2/1996,BUSINESS,Hawaii,Climb,Medium,Unknown bird - medium,Day,1856,2970,4826,80
SACRAMENTO INTL,B-737,Substantial,1/2/1996,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,210
LIHUE ARPT,DC-9,None,1/2/1996,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Night,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1/3/1996,AMERICAN AIRLINES,Texas,Approach,Large,Unknown bird - large,Day,0,0,0,140
PHOENIX SKY HARBOR,B-757-200,Minor,1/3/1996,DELTA AIR LINES,Arizona,Approach,Medium,Mallard,Night,0,0,0,135
HONOLULU INTL ARPT,DC-9,Minor,1/3/1996,HAWAIIAN AIR,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,120
ATLANTA INTL,B-767,None,1/4/1996,DELTA AIR LINES,Georgia,Approach,Large,Unknown bird - large,Day,0,0,0,140
MEMPHIS INTL,B-727,None,1/5/1996,FEDEX EXPRESS,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,150
NASHVILLE INTL,BE-58  BARON,None,1/5/1996,PRIVATELY OWNED,Tennessee,Climb,Small,European starling,Dawn,0,0,0,155
SACRAMENTO INTL,B-737-300,None,1/8/1996,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
NASHVILLE INTL,DC-9-30,None,1/9/1996,ABX AIR,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,1/9/1996,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,
NASHVILLE INTL,PA-34 SENECA,None,1/9/1996,BUSINESS,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,100
MEMPHIS INTL,DC-9-30,None,1/10/1996,ABX AIR,Tennessee,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,80
NASHVILLE INTL,B-737,None,1/11/1996,DELTA AIR LINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,140
NASHVILLE INTL,B-737,None,1/11/1996,SOUTHWEST AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,130
NASHVILLE INTL,B-737-200,None,1/11/1996,DELTA AIR LINES,Tennessee,Approach,Small,Unknown bird - small,Dawn,0,0,0,140
CHICAGO O'HARE INTL ARPT,MD-80,None,1/12/1996,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,MD-82,None,1/13/1996,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Dawn,0,0,0,180
DENVER INTL AIRPORT,B-737,None,1/14/1996,UNITED AIRLINES,Colorado,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,
NASHVILLE INTL,B-737-200,None,1/14/1996,DELTA AIR LINES,Tennessee,Approach,Small,Unknown bird - small,Dawn,0,0,0,135
ATLANTIC CITY INTL,GULFAERO III,None,1/17/1996,GOVERNMENT,New Jersey,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,B-737-200,None,1/17/1996,DELTA AIR LINES,Tennessee,Approach,Small,European starling,Dawn,0,0,0,125
NASHVILLE INTL,MD-88,None,1/19/1996,DELTA AIR LINES,Tennessee,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,150
JOHN F KENNEDY INTL,B-757-200,Substantial,1/19/1996,DELTA AIR LINES,New York,Climb,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-83,None,1/19/1996,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,132
RONALD REAGAN WASHINGTON NATL,DHC7 DASH 7,None,1/19/1996,PIEDMONT AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,122
NASHVILLE INTL,BE-200 KING,None,1/19/1996,BUSINESS,Tennessee,Approach,Small,Unknown bird - small,Dawn,0,0,0,110
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1/23/1996,AMERICAN AIRLINES,Texas,Take-off run,Small,Eastern meadowlark,Day,0,0,0,100
NASHVILLE INTL,FOKKER F100,None,1/24/1996,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Dawn,0,0,0,160
WILL ROGERS WORLD ARPT,B-727,None,1/25/1996,DELTA AIR LINES,Oklahoma,Take-off run,Large,Coyote,Night,0,0,0,
HONOLULU INTL ARPT,DC-9,None,1/26/1996,HAWAIIAN AIR,Hawaii,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,
GEORGE BUSH INTERCONTINENTAL,B-737,None,1/26/1996,CONTINENTAL AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,B-737-300,Substantial,1/27/1996,US AIRWAYS*,DC,Climb,Medium,Ring-billed gull,Day,0,0,0,150
LIHUE ARPT,DC-9-50,None,1/27/1996,HAWAIIAN AIR,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,140
JOHN F KENNEDY INTL,B-767,None,1/29/1996,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
NEW ORLEANS INTL,MD-80,None,1/29/1996,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Night,0,0,0,115
SEATTLE-TACOMA INTL,FOKKER F28 MK 1000,None,1/30/1996,HORIZON AIR,Washington,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,
CHICAGO O'HARE INTL ARPT,FOKKER F100,None,1/30/1996,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
DENVER INTL AIRPORT,BE-1900,None,1/30/1996,GREAT LAKES AIRLINES,Colorado,Approach,Small,Unknown bird - small,Day,0,0,0,190
LIHUE ARPT,DC-9-50,None,1/30/1996,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,130
LOGAN INTL,MD-82,None,1/31/1996,AMERICAN AIRLINES,Massachusetts,Approach,Large,Unknown bird - large,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1/31/1996,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,145
GREATER PITTSBURGH,B-757-200,None,1/31/1996,US AIRWAYS*,Pennsylvania,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,120
CHICAGO O'HARE INTL ARPT,B-757-200,None,2/4/1996,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,B-737-300,None,2/12/1996,US AIRWAYS*,DC,Approach,Medium,Ring-billed gull,Night,0,0,0,140
LIHUE ARPT,DC-9-50,None,2/12/1996,HAWAIIAN AIR,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,2/20/1996,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,130
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-30,None,2/21/1996,US AIRWAYS*,North Carolina,Climb,Medium,Unknown bird - medium,Day,0,0,0,170
SACRAMENTO INTL,T-38A,None,2/21/1996,MILITARY,California,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,175
ATLANTA INTL,MD-88,None,2/22/1996,DELTA AIR LINES,Georgia,Landing Roll,Small,Unknown bird - small,Dawn,0,0,0,120
SACRAMENTO INTL,C-402,Minor,2/23/1996,BUSINESS,California,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-80,None,2/24/1996,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,150
ORLANDO INTL,MD-80,None,2/25/1996,CONTINENTAL AIRLINES,Florida,Approach,Large,Unknown bird - large,Day,0,0,0,160
NEWARK LIBERTY INTL ARPT,MD-88,Substantial,2/25/1996,DELTA AIR LINES,New Jersey,Approach,Large,Canada goose,Night,0,0,0,150
ORLANDO INTL,DHC8 DASH 8,None,2/25/1996,PIEDMONT AIRLINES,Florida,Descent,Large,Unknown bird - large,Night,0,0,0,220
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,2/26/1996,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dusk,0,0,0,110
